id,Title,Singer,Lyric,genre,path,gender
0,To. X,태연 (TAEYEON),"처음 본 널 기억해 We skipped the small talk 바로 다음 단계였지 뭐 단점이라곤 없는 게 단점이라던 그 허세도 마냥 좋았어  하지만 내 일기가 재미없어진 이유 내가 없어진 나의 매일들은 허전해  좀 이상해 왜 둘 사이에 너만 너만 보이는 걸까 난 까다롭고 힘든 아이라 그런 피곤한 생각만 한대  오늘 나눈 문자 속에 새로 산 티셔츠 그 얘기뿐이야 이제야 난 알 것 같아 Gonna block you 불을 꺼 To. X  그 좋아했던 립스틱 싫단 말에 버린 널 좋아했던 만큼 다 맞추려 했어  ‘나 아님 누가 그런 세상 안아주겠어’ 그 말이 그땐 그리 달콤했던 거야 Oh no  새벽의 긴 통화도 이젠 피곤해졌어 Every day, every night 나로 채우고 싶어  좀 이상해 왜 둘 사이에 너만 너만 보이는 걸까 난 까다롭고 힘든 아이라 그런 피곤한 생각만 한대  오늘 나눈 문자 속에 새로 산 티셔츠 그 얘기뿐이야 이제야 난 알 것 같아 Gonna block you 불을 꺼 To. X  Gonna block you 불을 꺼 To. X  Say Bye Gonna block you 불을 꺼 To. X  깜빡거리는 흔들거리는 Light Gonna block you 불을 꺼 To. X  좀 이상해 왜 둘 사이에 너만 너만 보이는 걸까 (너만 보일까) 난 까다롭고 힘든 아이라 그런 피곤한 생각만 한대  오늘 나눈 문자 속에 (이제 불을 꺼) 새로 산 티셔츠 그 얘기뿐이야 이제야 난 알 것 같아 Gonna block you 불을 꺼 To. X  Gonna block you 불을 꺼 To. X",RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/000.mp3,여성
1,Either Way,IVE (아이브),"누가 내 말투가 재수없대 잘난 척만 한대 또 누구는 내가 너무 착하대 바보같을 정도래  가끔은 이해조차 안 되는 시선들 억울하기도 하지만 오해가 만든 수많은 나와 얘기해 우리 모두 다 ‘나’야  Either way, I’m good 전부 좋다구 누가 맞고 틀린 게 아닌 걸 모두 다르게 사랑하듯 Either way, I’m good Either way  내게는 언니같은 친구인데 어리광이 심하대 털털한 줄 알았던 저 아이는 마음이 넘 약한 걸  쟤 I 라서 그래 넌 E 라서 그래 됐고 그냥 V 나 하자  Either way, you’re good 전부 좋다구 누가 맞고 틀린 게 아닌 걸 모두 다르게 사랑하듯 Either way, you’re good Either way  I, I, I 또다른 나 나, 나, 나  누가 맞고 틀린 게 아닌 걸 모두 다르게 살아가 듯 전부 좋다구 사랑과 미움  모두 다 가지면 되는 거야 하나만 고를 필요 없는 거야  Either way, we’re good 웃어주자구 우후후 이렇게",RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/001.mp3,여성
2,DIE 4 YOU,DEAN,"I don’t wanna go Till everything comes crashing down (나는 어디에도 가지 않을거야 모든 것이 무너지기전까진)  You’re the one I want When everything comes crashing down (모든것이 무너질때, 넌 내가 원하는 유일한 사람이야)  그냥 왜인지 난 너가 돌아올 것 같은데  I don’t wanna go Till everything comes crashing down (나는 어디에도 가지 않을거야 모든 것이 무너지기전까진)  You’re the one I want When everything comes crashing down (모든것이 무너질때, 넌 내가 원하는 유일한 사람이야)  Could you tell me once again, again? (한번만 더 말해 줄 수 있어?)  Oh-oh-oh  널 안아줬던 그 날 처럼 오늘도 비가 오고 있어  Could you kill me once again, again? (한번만 더 날 죽여줄 수 있어?)  Oh-oh-oh  Cuz I know, I know I’ll be loving you I’ll be loving you (왜냐면 난 알거든 내가 널 계속 사랑할거라는걸)  I’m still loving you (난 아직 널 사랑해)  Baby you know I’d die for you (알잖아 난 널 위해서라면 죽을수도 있어)  네가 떠오르면 나는 미쳐 사실 아직 안믿겨 늦었을지도 모르지만 Let you know  어떤 멜로디도 그 어떤 스토리도 내겐 네 잔상일 뿐인데  I know it is way too late (너무 늦은걸 알지만)  I know it is way too crazy (너무 미친소리인걸 알지만)  But if you give me one more chance (하지만 너가 내게 한번 더 기회를 준다면)  Could you tell me once again, again? (한번만 더 말해 줄 수 있어?)  Oh-oh-oh  날 떠나갔던 그 날부터 하루도 잊은적 없어 난  Could you kill me once again, again? (한번만 더 날 죽여줄 수 있어?)  Oh-oh-oh  Cuz I know, you know I’ll be loving you I’ll be loving you (왜냐면 난 알거든 너도 알잖아 내가 널 계속 사랑할거라는걸)  What’s wrong? Baby you know I’d die for you (뭐가 문제야? 알잖아 자기야 난 널 위해서라면 죽어줄수도 있다는거)  I would die for you I would die for you I would die for you I would die for you (죽을수도 있어 널 위해서라면)",RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/002.mp3,남성
3,Must Have Love,"SG 워너비, 브라운아이드걸스",함께 있단 이유로 행복했었던 우리들의 겨울날의 소중한 기억들 좋은 날엔 언제나 네가 있기에 잊을 수 없는 Memories  Ring the bells sing the song this season is the time for love 익숙한 음악소리 가득한 거리 하얀 거품처럼 내려와서 소복히 쌓이는 눈 멀리서 들려오는 맑은 종소리 날 위해 준비해 둔 것 같아 너무 아름다워 말을 하지 않아도 알 수 있잖아 나를 항상 웃게 하는 너만 있으면 돼 내 맘을 다 아나 봐 하늘에서도 세상 가득히 눈이 와  Ring the bells sing the song this season is the time for love 친구란 이름으로 지내 왔기에 새삼 말하기도 어색했던 그고백 기억할게 너만의 사랑이란 이유만으로 모든 게 아름다운 이 세상 너만을 사랑해 말을 하지 않아도 알 수 있잖아 나를 항상 웃게 하는 너만있으면 돼 내 맘을 다 아나 봐 하늘에서도 Singing all around Singing all around 함께 있단 이유로 행복했었던 우리들의 겨울날의 소중한 기억들 좋은 날엔 언제나 네가 있기에 잊을 수 없는 Memories 잊을 수 없는 Memories Ring the bells sing the song cuz it's Christmastime This season is the time For you,RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/003.mp3,혼성
4,Still With You,정국,날 스치는 그대의 옅은 그 목소리 내 이름을 한 번만 더 불러주세요 얼어버린 노을 아래 멈춰 서있지만 그대 향해 한 걸음씩 걸어갈래요 Still With You 어두운 방 조명 하나 없이 익숙해지면 안 되는데 그게 또 익숙해 나지막이 들리는 이 에어컨 소리 이거라도 없으면 나 정말 무너질 것 같아 함께 웃고 함께 울고 이 단순한 감정들이 내겐 전부였나 봐 언제쯤일까 다시 그댈 마주한다면 눈을 보고 말할래요 보고 싶었어요 황홀했던 기억 속에 나 홀로 춤을 춰도 비가 내리잖아 이 안개가 걷힐 때쯤 젖은 발로 달려갈게 그때 날 안아줘 저 달이 외로워 보여서 밤하늘에 환하게 울고 있는 것 같아서 언젠가 아침이 오는 걸 알면서도 별처럼 너의 하늘에 머물고 싶었어 하루를 그 순간을 이렇게 될 걸 알았다면 더 담아뒀을 텐데 언제쯤일까 다시 그댈 마주한다면 눈을 보고 말할래요 보고 싶었어요 황홀했던 기억 속에 나 홀로 춤을 춰도 비가 내리잖아 이 안개가 걷힐 때쯤 젖은 발로 달려갈게 그때 날 잡아줘 날 바라보는 희미한 미소 뒤편에 아름다운 보랏빛을 그려볼래요 서로 발걸음이 안 맞을 수도 있지만 그대와 함께 이 길을 걷고 싶어요 Still With You,RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/004.mp3,남성
5,Yes or No,정국,"This ain’t another love song baby It's my way of putting feelers out All the traffic in my head’s going crazy I’m gonna trust my heart right now  And if it’s better to bet on us then I’ll double down And if we end up in bed and I put the covers out And if I’m wrong I’ll just bury my head deep underground I gotta know  Are you feeling the rush? If so, then I think I know what’s going on And are we falling in love? Say yes or no, yes or no, yes or no  Are you thinking ‘bout us? If so, then I think I know what's going on And are we falling in love? Say yes or no, yes or no, yes or no  Everybody in this club so faded I’m trippin over getting lost on you If we forever started out as strangers I think my ever after just came true If you could see what I see then let’s see what it’s about We will go higher and higher but we’re not looking down If it’s a dream there’s no telling when I’ll be coming ‘round And I gotta know  Are you feeling the rush? If so, then I think I know what's going on And are we falling in love? Say yes or no, yes or no, yes or no  Are you thinking ‘bout us? If so, then I think I know what's going on And are we falling in love? Say yes or no, yes or no, yes or no  Something about you Do you feel the way I do? There’s magic in the room Tell me do you feel it too? Something about you Do you feel the way I do? There’s magic in the room Tell me what we gonna do?  Are you feeling the rush? If so, then I think I know what's going on And are we falling in love? Say yes or no, yes or no, yes or no  Are you thinking 'bout us? If so, then I think I know what's going on And are we falling in love? Say yes or no, yes or no, yes or no",RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/005.mp3,남성
6,미워 (Ego),Crush,유난이라고 하지 마 밤길은 위험하니까 딱 현관문 앞까지만  정말 얄미워 어쩜 이렇게 예뻐 나 떨어지기 싫어 아쉬워 너 미워  투정 같은 내 말투 달래는 너의 입맞춤 켜진 우리 머리 위에 불 아른하게  Girl you killed my ego 어쩜 이렇게 예뻐 나 떨어지기 싫어 아쉬워 너 미워  너 미워 미워 미워 미워 너 미워 미워 미워 미워  혼자 흥얼거려 멜로디 음 둘이 같이 들었던 노래야 음 반가움에 절로 미소 방긋 똑 닮아가는 우리 둘  또렷한 색에 옷이 물들 듯 심장은 너로 번져 온통 하얀색 구름 (아니 그러니까) 너희 강아지 산책만 같이 가면 안 돼? 응?  투정 같은 내 말투 달래는 너의 입맞춤 켜진 우리 머리 위에 불 아른하게  Girl you killed my ego 어쩜 이렇게 예뻐 나 떨어지기 싫어 아쉬워 너 미워  너 미워 미워 미워 미워 너 미워 미워 미워 미워  널 사랑한다는 이 말도 닳고 닳은 표현이라도 맞닿은 우리 둘의 마음도 밝게 비추네 이 밤  Girl you killed my ego 어쩜 이렇게 예뻐 나 떨어지기 싫어 아쉬워 너 미워,RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/006.mp3,남성
7,Merry PLLIstmas,PLAVE,"Starry night 오늘을 준비했어 널 위한 노래와 크리스마스 선물들이 떨리는 내 심장소린 널 향한 연주가 되었죠 Mistletoe 우리들의 멜로디 하얀 솜 쌓여가는 이야기 따듯한 겨울눈이 falling 산타는 없죠 Say I love you Don’t leave me alone I will tell you one thing, lady 사랑에 빠져버린 것 같아 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 사랑일까 새하얀 눈이 (펑펑) 내리는 거리 (펑펑) 만나러 가지 떨리는 아이 Christmas party 12시 지나면 종이 울릴 텐데 I swear to god I’ll love you forever babe Say I love you Don’t leave me alone I will tell you one thing, lady 사랑에 빠져버린 것 같아 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 눈이 내리죠 그대 올까요 혹시라도 내가 놓칠까 봐 그대가 보여 내리는 눈 사이로 ooh 꿈을 꾼다 흰 눈이 널 닮은 이 순간 멜로 영화처럼 마침내 우린 결말이 되었죠 Christmas for you 꿈만 같아 온 세상이 멈춘 이 순간 너를 바라볼 때 눈송이가 수많은 별이 되어 반짝일 거야 Merry Christmas",RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/007.mp3,남성
8,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),Back to the day 갓 10대가 됐을 때 그때 내가 널 보지 못했다면 어땠을까 해 왜인지 외로워지는 밤에 You say 흐린 추억 속에 네게 안겨 잠드네 Yeah 친구들과의 술자리 나는 또 네 얘기를 꺼내 보고 싶다는 넋두리에 친구들 답은 뻔해 10년도 더 된 애를 사랑할 수 있냬 이제 그만 잊으래 근데 그게 잘 안돼 그래 걔 말마따나 넌 아담의 사과일 수도 But 난 신을 안 믿으니까 네 전화 바로 픽업 지금 주소 찍어 어디든 상관없어 다 갈 테니까 그건 사랑이 아냐 그건 미련이 아냐 그냥 정이라고 하자 임마 네가 뭘 알아 이건 사랑이 맞아 분명 약속했단 말이야 I know I’m wrong 그 자리에 그대로 두고 온 기억들을 더듬고 있을 때면 You say 그건 사랑이 아냐 그건 미련이 아냐 그냥 정리하고 가자 아메리카노보단 라떼를 맛있게 내리던 네 집 앞 카페를 매일 같이 갔었었던 그때를 내려줄게 쓰지 않아 이제는 넌 매일 밤 예뻐 예뻐 해주며 날 재워 재워 식어버린 널 데워 태워 꿈에서 날 깨워 줘 버려진 기억들 속에서 쓸만한 컷들을 찾고 있어 이미 내 곁에 더는 없는 너지만 난 너를 느낄 수 있어 닿을 듯 안 닿을 듯 떠나는 뒷모습이 왜인지 행복해 보여 너라도 행복해줘 그건 사랑이 아냐 그건 미련이 아냐 그냥 정이라고 하자 임마 네가 뭘 알아 이건 사랑이 맞아 분명 약속했단 말이야 I know I’m wrong 그 자리에 그대로 두고 온 기억들을 더듬고 있을 때면 You say 그건 사랑이 아냐 그건 미련이 아냐 그냥 정리하고 가자 그건 사랑이 아냐 그건 미련이 아냐 그냥 정이라고 하자 임마 네 말이 맞아 이건 사랑이 아냐 그냥 정리하고 가자,RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/008.mp3,남성
9,빛이 나는 너에게,던 (DAWN),그때 널 만나지 않았더라면 지금의 우린 어디에 있을까 가장 예쁠 때의 너를 만나서 누가 뭐라 해도 뭐든 견딜 수가 있었어 빛이 나는 널 위해 많은 걸 놓아야만 한대도 괜찮아 난 알잖아 넌 내 전부였던 걸 날 잊어버릴 만큼 행복했어 괜찮아 내 모든 걸 잃어도 눈부시게 빛나는 널 볼 수만 있다면 봄날처럼 아름다웠어 너와 나는 한 폭의 그림처럼 돌이킬 수 없는 시간 새겨진 한 장면 속에 그림자조차 눈부셨으니까 빛이 났던 우리의 기억이 점점 사라진대도 괜찮아 난 알잖아 넌 내 전부였던 걸 날 잊어버릴 만큼 행복했어 괜찮아 내 모든 걸 잃어도 눈부시게 빛나는 널 볼 수만 있다면 깜깜했던 어둠 속 환하게 날 비추던 네가 보여 그 끝에 널 만났어 아무렇지 않은 듯 괜찮아 난 고마워 네가 전부였던 건 세상을 가진 만큼 행복했어 괜찮아 내 모든 걸 잃어도 눈부시게 빛나는 널 볼 수만 있다면,RnB_Soul,/content/drive/MyDrive/Hmm2Song/data/song/Full_input/009.mp3,남성
